U_loss,U
0.15966487299650745,0.5170434792399259,0.09291356081409263
0.1599434378255094,0.5114115884616823,0.09462900451447971
0.16244255404153302,0.5044862232012637,0.09689615774763913
0.16517813177452412,0.5028221193400095,0.09866249395658047
0.16517813177452412,0.5028221193400095,0.1035956186544095
0.16517813177452412,0.5028221193400095,0.10877539958712998
0.16517813177452412,0.5028221193400095,0.11421416956648649
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
0.16517813177452412,0.5028221193400095,0.11992487804481082
